Anime,Recommendation,Reasoning,Recommendation Power
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,['Inou-Battle wa Nichijou-kei no Naka de'],"['Both contain a group of likable female falling in love with the mc. This is not done in a typical familiar fashion that harem shows used before. Instead, they use the stereotypical story with out of the box methods resulting in hilariously good time. If you love one of them, the other is a must watch']",[1]
Liz to Aoi Tori,['Yagate Kimi ni Naru'],"['Liz to aoi tori is shoujo ai suggestive and yagate kimi ni naru is a shoujo ai, both are a journey in the discovery of feelings,yagate kimi ni naru its more focused in the romance, the direction maybe are similar the audio is pretty good in both, they have several moments without any music of background. The way who the colours represents feelings etc.']",[1]
Black Clover,['Enen no Shouboutai'],"[""Well, it looked similar to me in the sense that there are squads in both the anime which involve family-like relationships and also mc's squad is not well-reputed.""]",[1]
Imawa no Kuni no Alice (OVA),"[""Darwin's Game""]","['The atmosphere, tone of both series is very similar.']",[1]
11eyes,['Trinity Seven'],"['Same story prefer, as the two of this choose the deadly seven sins, or whatever it is called for reference.']",[1]
Narue no Sekai,"['Jitsu wa Watashi wa', 'Kimagure Orange☆Road']","['Both shows feature on a somewhat meek male lead who falls for a not-so-human girl, which leads to even more unusual foolery starting to surround him. While both have some light fanservice, Jitsu wa has some more deliberately raunchy humor and is based around the dynamic between the Asahi and Yoko (including how they seem to keep dodging ending up together), while NnS is a coming of age story that focuses on Narue and Kazuto going through their first relationship together', ""Both are romcoms following late middle school relationships with a little bit of a supernatural twist tossed into the coming of age premise. Both also have some out of place usage of fanservice that doesn't quite fit with how generally tame both shows are.""]","[1, 1]"
Gankutsuou,['Clannad'],"[""I'd recommend both of these anime to those that are looking to get a cry on. Gankutsuou (The Count of Monte Cristo) is based on the legend of Edmond Dantes, where he died a tragic death and wants his vengeance on the world.\r\n\r\nThe anime starts off relatively slow but picks up drastically after the first few episodes. You might find yourself confused about the pacing at first but rest assured, the anime will make it up to you towards the end of it. This anime is similar to Clannad because of how both of them include losing someone important, and have a lot of sadness as the backbone of it.\r\n\r\nSorry for the essay but if you didn't read it just give this anime a try, it's really emotional and made me cry for the first time in ages.""]",[1]
IS: Infinite Stratos,"['Maji de Watashi ni Koi Shinasai!', 'Date A Live']","['Both shows feature a schoolboy with strategic intelligence and harem of beautiful ladies that slowly fall in love with him while evil lurks from a distance. Both shows are very fun to watch on a lazy day', 'Both of them have mechas fights and also ""harems"", the harem and fights with mechas of this anime are really similar to the same ones in inifinite stratos.']","[1, 1]"
Rakudai Kishi no Cavalry,['Gakusen Toshi Asterisk'],"['They LITERALLY are the same show, same author, reused script, same everything, I would say rakudai kishi no cavalry is better though']",[2]
Makai Ouji: Devils and Realist,['Shounen Maid'],"['Both anime have a MC with dead parents being taken care of by an Uncle (William/Chihiro), a blonde rich dude (William/Madoka), BL undertones and an overall similar atmosphere and style. Makai Ouji is a little more dark and serious than Shounen Maid though, plus it has supernatural elements.']",[1]
Shirokuma Cafe,['Tanaka-kun wa Itsumo Kedaruge'],"[""Both somewhat peaceful slice-of-life animes featuring a lazy 'protagonist'. Tanaka-kun is set in school and Shirokuma cafe is set in a world where animals speak and co-exist normally but also likes to make fun of that fact. Also great deadpan humour in both while also being very wholesome and heartwarming.""]",[1]
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen'],"[""The main characters of both shows (Latina and Myne) are young, cute girls who are out of place in the setting of the story. While Latina's personality is sweeter and quieter than Myne's with her tendency to leap before looking and her occasional pouting, they share a determination for their goals. The shows are set in Middle Ages inspired, pseudo-European worlds with magic, and both girls have protective family and friend characters around them. There are some similarly-themed tensions (don't want to give any spoilers), and overall these are light viewing experiences w/ some heartfelt moments and comedy.""]",[1]
Diamond no Ace,['Black Clover'],"[""In both animes there is the loud main character (Asta and Sawamura) and the silent rival (Yuno and Furuya).\r\nIn Black Clover Asta and Yuno want to become mage king and in Diamond no Ace Sawamura and Furuya want to become the ace of their team.\r\nAsta has no magic but has a sword, and Sawamura doesn't have an good fastball but he has an moving ball.\r\nYuno has an four leaf clover grimoire, and Furuya has an amazing fastball.""]",[1]
Aria the Animation,['Hakumei to Mikochi'],"[""Both shows are exemplary Iyashikei (comforting / soul-healing) anime. Whilst Aria is centered around exploring the lives of Undines in Neo-Venezia, Hakumei to Mikochi revolves around the lives of tiny people living in the forest alongside animals. The musical score is excellent in both anime...and is designed to have a calming effect on the viewer.\r\n\r\nIMO... what really connects the two shows together is the characters' uncomplicated and positive outlook towards life. In that sense, the shows share a certain level of innocence that is heartwarming as well as something that all adults ought to learn from.""]",[1]
Rokudenashi Majutsu Koushi to Akashic Records,['Arifureta Shokugyou de Sekai Saikyou'],"[""I think the main similarity is the fact that they're both more laughs than story. Sure, one might be a school and the other is an isekai but they're both filled with ecchi.""]",[1]
Toaru Majutsu no Index II,['Toaru Kagaku no Railgun T'],"[""definitely Same story with extra :\r\n- Comedy\r\n- Drama\r\n- esper power\r\n- characters appears in the same timeline and place\r\n- extended version of 8th episode to 13th episode\r\n- 6 of 7 Level 5 esper's appear on first episode""]",[1]
Ichigo 100%,['Hatsukoi Limited.'],"['The anime story is similar to the stories of the animes nourin and hatsukoi limited, they all have love triangle problems.']",[1]
Mimi wo Sumaseba,['Neko no Ongaeshi'],"[""The cat in this movie is the same cat in Neko no Ongaeshi, this movie also makes a reference to the movie Kurenai no Buta because there's something written in a clock that appers during the movie (they found this clock in a destroyed castle).""]",[1]
Appleseed,"['Appleseed Alpha', 'Koukaku Kidoutai Arise: Alternative Architecture']","['The movie explains everything about the anime appleseed since the beginning, you must first watch everything, then watch this movie, pay attention to the scenes after the credits!\r\nIf you do this you will understand everything and this anime will make more sense and you will give a higher score in MAL if you watch the after credit scenes!', 'If you watch every single second available of appleseed, you will love appleseed as much as you love GITS. They are both in a distant and high tech future. They also have robots and robotic transplants. They are both about an organization helping the city against terrorists, so there are a lot of shoots and guns and people betraying each other.']","[1, 1]"
Appleseed XIII Remix Movie 2: Yogen,['Koukaku Kidoutai Arise: Alternative Architecture'],"['If you watch every single second available of appleseed, you will love appleseed as much as you love GITS. They are both in a distant and high tech future. They also have robots and robotic transplants. They are both about an organization helping the city against terrorists, so there are a lot of shoots and guns and people betraying each other.\r\nThey also have a lot of random missions to accomplish like in GITS, but GITS is way better!']",[1]
Koukaku Kidoutai: Stand Alone Complex,"['The Animatrix', 'Sword Art Online', 'Id:Invaded']","['They are both about a distant future where everything is high tech.\r\nGhost in the shell also has a lot of things related to hacking and viruses.', 'They are both about a distant future where everything is high tech, people also say that Kirito has the ""hacking eyes"", watch Sword Art Online and you will understand. Ghost in the shell also has a lot of things related to hacking and viruses.', 'Both shows explore specific sci-fi concepts to tell mystery-thiller stories involving police work to solve a variety of cases supported by tightly written dense scripts and screenplay.\r\n(this obviously also heavily includes 2nd GIG as a recommendation)']","[1, 1, 1]"
The Animatrix,['Sword Art Online'],"['They are both about a distant future where everything is high tech, people also say that Kirito has the ""hacking eyes"", watch Sword Art Online and you will understand. Animatrix like SAO also has a lot of things related to hacking and viruses and alternative realities.']",[1]
Re Boot,['Shelter'],"['The ""musics"" Re Boot and Shelter, are the only one\'s that I consider them animes and not only musics! They really show and tell you something when you watch them, and all of it while listening to good music!']",[1]
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",['Corpse Party: Missing Footage'],"['They both are not animes for kids to watch, they are also like Berserk. They have a lot of blood scenes. If someone things that animes are for kids just tell them to watch these animes.']",[1]
Sono Kinisasete yo: My My Mai,['Dream Hunter Rem'],"['Both of these raunchy OVA are about young women who both run a supernatural investigation/whatever-the-show-calls-for service by their lonesome. Rem, as suggested by her name, can enter peoples dreams to fight apparitions capable of harming the dreamer from within, while Mai runs your ordinary ghost/demon busting service.\r\nWhat sets the two apart, is that Rem takes itself fairly seriously, while Mai is a straight up comedy. I think Mai is funnier as a comedy than Rem is engaging as a story.\r\nIronically Mai is the drastically more sexual one, even though Rem was originally planned as a hentai.']",[1]
Seitokai no Ichizon,['Sakura Trick'],['This anime is similar to seitokai no ichizon in the points that;\r\nThe story is about spending days in a school.\r\nThey are both really funny and make you laugh.'],[1]
Machine-Doll wa Kizutsukanai,['Aoki Hagane no Arpeggio: Ars Nova'],"['For some reason that I can not remember, when I was watching Machine-Doll wa Kizutsukanai I thought that this anime is different but somehow similar to the anime Aoki Hagane no Arpeggio Ars Nova,both of them have really good openings and endings musics.']",[1]
Kyou kara Ore wa!!,['Be-Bop Highschool'],"['Both shows are about a duo of high-school delinquents messing around, getting on fights, trying to seduce some girls, etc... the humor and general feel are very similar. Both also have similarly structured episodes ; the first ~3/4 of an episode is humour and setup for the serious moment (generally a fight) for the rest.']",[1]
Ahiru no Sora,['Haikyuu!!: To the Top'],"[""Both about sports and the rise to be a champion having height as your handicap. It's pretty cool because the basketball team is full of delinquents and you get to see them grow up and mature into a team that can depend on each other. It also discusses giving up and finding your motivation for doing things while being funny and cool at the same time.""]",[1]
Mind Game,['Kuuchuu Buranko'],"['Stylistically similar, Kuuchuu Buranko and Mind Game both have very chaotic editing, super bright colors, mixed media presentation (mixing live action elements/photographs/etc.) and psychedelically charged visuals. Not all you see is exactly what it seems and things that are entirely off the rails are treated with normalcy, or well at least not given any time to dwell on before things move swiftly on. Both use symbolism comedically and for the sake of subtle visual representations of emotions. Mind Game has much smoother and weightier animation but that is to be expected of a movie vs. a series. Both have excellent music that adds so much to the experience.']",[1]
Youjo Senki,['Tensei shitara Slime Datta Ken'],['-It follows our main character transporting into another world. Trying what they can to survive but with overpowered power and opposite personalities.'],[1]
Kino no Tabi: The Beautiful World - The Animated Series,['Somali to Mori no Kamisama'],['❃ Both anime have two main characters that travel and discover new places and cultures'],[2]
Tentacle and Witches,['Gakuen Shinshoku: XX of the Dead'],['Want more tentacles? Then check out this one. The difference between these two are tentacle and witches is a fantasy hentai meanwhile gakuen shinshoku is a horror hentai'],[1]
Highschool of the Dead,"['Gakuen Shinshoku: XX of the Dead', 'Another']","['Woah okay this is a weird recommendation but hear me out. The first similarity is the highschool students got stuck in the zombie apocalypse and try to survive. Not only that, the genre of these anime are horror and action. Also, blood and gore are included in both anime', 'Horror, Gore, and Death. Also a lot of intense scenes and maybe funny moments. Depending on if you can laugh at dark times.']","[1, 1]"
Cross Road,['Toshi Souzou Gakubu Shoukai'],['A short animation? Yes. \r\nAn advertisement? Yes. \r\nWorth to watch? Well... It depends. Both of the anime are kind of good to watch if you like slice of life genre and relaxing plot.'],[1]
Re: Cutey Honey,['Promare'],"[""The director of Promare, Hiroyuki Imaishi, directed the first episode of Re: Cutey Honey, so if you're looking for more of his signature style, look no further. However, there's more between these two titles than just Imaishi. Amid all the flashy animation and big action, a relationship develops between the two lead characters: opposing personalities who don't get along at first, but it all builds up to a surprisingly similar payoff as they team up.""]",[1]
Fune wo Amu,['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen'],"['The main characters channel their passion and energy into making books - although while Honzuki is about books in general, Fune wo Amu is about dictionaries specifically. The slow pace draws viewers into the story, and amid the slow process of book-making, the protagonists build interesting relationships with those around them.']",[1]
Kyattou Ninden Teyandee,['Mashin Eiyuuden Wataru'],"[""Both shows feature an old-fashioned Japanese setting combined with sci-fi technology. They're also both hero shows, featuring main characters that transform, as well as villains that have a silly/cartoony sense of humor.\r\nOne focuses on a team of cats while the other focuses on Wataru & his friends, but I still get a similar feeling from both of these shows when I watch them.""]",[1]
Dr. Slump: Arale-chan,['Mashin Eiyuuden Wataru'],"['Both series have a similar sense of humor, especially how the villains in both series are goofy and hard to take seriously.\r\nBoth shows also have sci-fi technology despite being set in an old-fashioned town.\r\nWataru is a bit more focused on Action and Adventure while Dr. Slump is more focused on comedy, but both series give off a very similar tone to me.']",[1]
Yawara!,['Kakutou Bijin Wulong'],"[""Both anime feature a female martial arts expert being trained by their grandpa, both of whom are short in stature, and a little bit perverted. The main character in each show is also reluctantly entered into martial arts tournaments by said grandpa. Both series also feature a reporter for a sports tabloid which wants to get a scoop on the main character.\r\nThe art style and tone of each show are slightly different, but I feel like it's impossible to ignore the otherwise large similarities between the two.""]",[1]
Kidou Senkan Nadesico,"['Slayers', 'Ginga Kikoutai Majestic Prince']","[""Both are 90s anime that blend self-aware humor and exaggerated characterizations with serious and dramatic plot points. While one is a fantasy adventure and the other a parody of military mecha,  the humor of both series is fairly similar, and would appeal to viewers even if they aren't necessarily fans of the differing genres"", 'Both are mecha series that have an overall lighthearted and comedic tone, but still contain darker, more serious, and sad plot threads and moments throughout the story.  Both also feature mysterious enemies of alien origin, and otaku MCs (in Nadesico Akito is a mecha otaku, whereas in MJP Izuru is more of a toku otaku and aspiring mangaka)']","[1, 1]"
Ginga Ojousama Densetsu Yuna: Kanashimi no Siren,['Detatoko Princess'],"['Both are short OVAs following an adventures of good-natured but ditzy female protagonists, with a heavy serving of over the top and ridiculous 90s anime humor. Despite Detatoko Princess being fantasy and Yuna being sci-fi, both have taken pretty clear influence from magical girl anime']",[1]
Metal Fighter Miku,['Circlet Princess'],"['Both shows have predominantly female casts who fight in sci-fi combat sports, with both shows having a heavy focus on the girls training and learning new techniques, while building up to a rematch against an opponent who defeated them in the beginning.']",[1]
Miss Monochrome The Animation,['Zombieland Saga'],"[""Comedic series about idols with something different about them. In Miss Monochrome's case, the titular character is an android. In Zombie Land Saga, the aspiring idols are zombies. Both situations make for hilarious scenes in the respective shows.\r\n\r\nMiss Monochrome has shorter episodes and arguably focuses more on comedy. Zombie Land Saga's episodes are standard length and arguably have more tension, but still retain comedic value. \r\n\r\nIf you're looking for an idol series that is a bit different, either (or both) of these two series might be right up your alley.""]",[1]
Kekkou Kamen,['Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen'],"[""Both shows are about under clad masked super-heroines protecting a girl in high school from mobbing and abuse. They came out in the early 1990s and share a similar narrative and artistic style. What little cloth they wear has resemblance, e.g. the feather on their headgear. Gootaman is closer to Mahou Shoujo, Kekko to the superhero genre. Gootaman is shorter, and it's plot could without much problem be made into a Kekkou episode. Kekkou is the more raunchy, zany and better show.""]",[1]
Kemonozume,['Devilman: Crybaby'],"[""Devilman Crybaby and Kemonozume are VERY similar shows, which makes sense since they even share the same director (Masaaki Yuasa). They both feature an unorthodox, crude art style that is love-it-or-hate-it. Both shows are about demons who disguise themselves amongst humans, but reveal their true form after becoming sexually aroused. Both shows feature a ton of sex and violence and grotesque imagery. I didn't even like either show but I can still see how incredibly similar they are.""]",[1]
Wata no Kuni Hoshi,['Neko Neko Fantasia'],"[""Both are narrated from the POV of a young female cat with near human intelligence. She also has, at least in her own perception, a human body of a girl aged between toddler and pre-school kid. Both cat girls interact with the world of humans without understanding social norms, or simple mechanics such as the purpose of money. The main difference is that in Fantasia the transformation is magic and temporary, where in Kuni Hoshi it's all in the head of the kitten only. Also Fantasia is a short OVA with a single feel good story, where Kuni Hoshi is a fairly complex and even dark at times slice of life / coming of age story.""]",[1]
Manaria Friends,['Demi-chan wa Kataritai'],"['Both take place in high schools and feature mythological/supernatural characters alongside humans. ""Interviews with Monster Girls"" features vampires, dullahans, snowwomen (or Yuki-onna) and succubui, while ""Manaria Friends"" features dragons. They differ in that ""Interview with Monster Girls"" takes place in modern Japan but it just so happens to have these supernatural beings, while ""Manaria Friends"" is in a different world all together and human characters have the potential to learn magic.']",[1]
Berserk,['Goblin Slayer'],"['If you like Goblin slayer you will probably like Berserk as well. Both have some pretty dark moments and are basically about combating evil. The main characters are both clad in armor and both let there fighting do the talking. While you may start watching berserk and notice that Guts is not as scarred as Goblin Slayer, I would just say watch the first season and then you will see where I am coming from.\r\n\r\nWithout trying to spoil berserk in any way I will just say that by berserk season 2, Guts is a lot more like Goblin slayer in many ways. If you have not seen berserk, it is a must watch and you will most likely get drawn into the Manga as I did.']",[1]
Ginga Tetsudou 999 (Movie),['Ginga Tetsudou no Yoru'],"[""The creators of both movies took inspiration from a book called Night on the Galactic Railroad. One of these works is an adaption with the work which softens the tale for a child audience by making the character anthropomorphic cats , while the other takes it's own spin on the concepts presented in the book, yet takes a much darker twist. Both tales also pull at the viewers heartstrings.""]",[1]
Tenshi no Tamago,['Kaijuu no Kodomo'],"['Both are very ""trippy"" and spiritual experiences. They both offer interesting views on the natural world and the foundations of our existence. Very good if you are feeling a bit existential. Both have very distinct art styles as well.']",[1]
Mahou Shoujo Lyrical Nanoha,['Nanatsu-iro★Drops'],['Nanoha really reminds me of Sumomo and vice versa. Most of the show is kind of based around how moe you think the girls are.'],[1]
Mairimashita! Iruma-kun,['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen'],"['-Both feature protagonists thrust into a world in which they must use their specialized skills from Earth (survival tactics vs book/craft knowledge) to survive \r\n-Both feature somewhat younger child characters as the protagonist\r\n-Both are a little slower paced but give a lot of detail and attention to their respective fantasy worlds\r\n-Both are a little hampered by lower production values, but make up for it in their writing\r\n-Both protagonists have blue hair (almost entirely inconsequential but a little funny nontheless)']",[1]
Baby I Love You Daze,['Kokoro Yohou'],['Both advertisements for Lotte Ghana chocolates which double as music videos.\r\nBoth have themes of romance and an upbeat nature.'],[1]
Kamisama Kazoku,['Toradora!'],['The main heroines Taiga and Tenko in both are Tsunderes who want the heroes Ryuji and Samatarou to fall in love with other girls Minori and Kumiko but end up falling and pairing with them themselves.'],[1]
Tantei Gakuen Q,['Persona 5 the Animation'],"['It has the same atmosphere, both are about detectives and solving cases.']",[1]
Junketsu no Maria,['Vinland Saga'],"['Despite heavily contrasting in tone, both shows show pretty accurate (and vastly different from Hollywood) portrayals of medieval times during wars']",[1]
Nanbaka,"['One Punch Man', 'Mairimashita! Iruma-kun']","['Utterly absurd. This is how I would describe the premises of these two anime for the majority of the time. Granted, every so often (more often in Nanbaka) the show will grace you with a wonderfully dark twist. If you like the colourful cast of One Punch Man and high-intensity action scenes, Nanbaka would be a great next watch.', ""they're not exactly alike in plot, but the overall feel of the series is quite similar.\r\nthey are both loud sparkly colored and lots of dumb yelling, but can get surprisingly dark for something that looks so child friendly. they both have a massive chaotic neutral energy""]","[1, 1]"
Nisemonogatari,['Ore wo Suki nano wa Omae dake ka yo'],"[""Oresuki has a lot of intrigue and it turns the Harem genre on it's head by making all the characters trying to destroy one another's reputations to try and be who they want to be with. It does have some annoying fan service and a swimsuit episode but I enjoyed it because the characters all felt real with good and bad traits for all of them. If anything at least finish episodes 1-3 for the huge plot twists that blew me away...""]",[1]
Maze☆Bakunetsu Jikuu,['Rance: Sabaku no Guardian'],"['Over the top zany comedy with a lot of ecchi humor. In Rance, the comedic couple ""lecherous asshole"" and ""overabused girl with heart of gold"" are split into two personas, Rance and Sill. In Maze, the titular character changes gender and is pretty much Rance at night and Sill at day. If you can laugh about the humor of one, you can laugh about the humor of the other. Rance is slightly funnier, and wouldn\'t deserve the hentai tag in 2020 anymore - there is R+ stuff out which is tougher.']",[1]
Princess Principal,['Release the Spyce'],['A group of spy girls. Princess Principal is darker and deeper while Release The Spyce is mixed with CGDCT'],[1]
Mitsuboshi Colors,['Asobi Asobase'],"[""3 young female protagonists enjoying life as they can and some ridiculous situations, episodes composed of little segments, basically Mitsuboshi is a light version of Asobi Asobase's blue humour""]",[1]
Digimon Adventure 02,"['Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Kodai Ouja Kyouryuu King', 'Bakuten Shoot Beyblade G Revolution']","['Both second seasons of classic kids anime.\r\nBoth have monster companions.\r\nBoth have young children main characters.', ""Both similar styled kids monster anime that target the same demographic.\r\nBoth have varied monster designs with both cute/cool/formidable designs.\r\nBoth series main characters are similarly aged children.\r\nBoth have sentient creatures that partner with the series' human heroes."", 'Both super popular kids anime with similar art styles and premises.\r\nBoth have a wide array of monsters with varied design.\r\nBoth have similar aged protagonists.\r\nBoth target the same demographic.']","[1, 1, 1]"
Tamayura,['Koisuru Asteroid'],"['Having watched quite an amount of SoL animes, I found that Koisuru Asteroid has a lot of elements that resemble the Tamayura series.\r\n\r\nTamayura is a long original series while Koisuru Asteroid is a 12-episode anime adapted from the manga. Tamayura delves deeper into each individual character and is a much slower anime compared to Koisuru Asteroid.\r\n\r\nBoth animes emphasize on the theme of ""to each his own"". They feature characters that have different interests but somehow able to form relationships through events and encounters; Thus, making them more diverse than most school anime. In Koisuru Asteroid, it has subjects on astronomy, earth science, tabloid and bakery while Tamayura has photography, theatre, cooking and exploration.\r\n\r\nBoth animes feature going to new places to discover new things. Koisuru Asteroid often has club activities that require the characters to visit exhibitions in different prefectures. In Tamayura, characters venture out to discover new points of interest.\r\n\r\nBoth animes emphasize on the coming-of-age period faced by students. Some of the characters are lost in lives and have no idea what they really wanted to pursue after graduation. \r\n\r\nBoth animes emphasize on the theme of ""life goes on"" and didn\'t shy away from topics on separation and new encounters. Seniors will eventually have to graduate while new freshmen will arrive.']",[1]
Noir,['Flip Flappers'],"['Very tonally different, but both Flip Flappers and Noir are shows that mostly put episodic adventures in the foreground, with the mysterious main plot developing in the background. The episodic narratives are very enjoyable in both cases and once the shows start focusing on their main stories more, they are absolutely worth the build up. Not too mention the interesting and lovable characters that both series are filled with.']",[1]
Comic Girls,['Eizouken ni wa Te wo Dasu na!'],"['Funny slice of life with little gilrs writing manga, its very similar to eizouken']",[1]
Mahoutsukai Precure!,['Little Witch Academia (TV)'],"['Both are anime with girls in a magical school and are very similar in many ways, such as the magical world they run and the many magical creatures that appear.']",[2]
Katanagatari,['Brave 10'],['Although the art styles are drastically different the dynamic between the male and female companion duos are very similar.'],[1]
Digimon Adventure,"['Kodai Ouja Kyouryuu King: Yokuryuu Densetsu', 'Zinba']","['Both classic kids monster battling anime.\r\nBoth have friendship as major themes.\r\nBoth have young children heroes who befriend monster companions and battle villains.', 'Zinba will remind you a lot of this series.The MC are alike.Would seem idiot but will become your favourite soon.So i think its similar to Adventure series.']","[1, 1]"
Handa-kun,['Saiki Kusuo no Ψ-nan'],"[""Both shows feature protagonists who don't want any unnecessary attention but attract a colorful cast in spite of that. Both shows are full of extremely hilarious antics""]",[1]
Sennen Joyuu,['Kono Sekai no Katasumi ni'],"['Might seem surprising, but I felt that these movies are more similar than what meets the eye. \r\n\r\nThey both tell the story of a Japanese woman living before, during and after WW2 (of course, Millenium Actress also covers a time period exceeding the 1950s), the viewer practically witnessing them growing from childhood to adulthood and beyond. Taking the Japanese perspective of the war, both movies show that their culture is not characterised solely by atrocities and violence, unlike what is portrayed in many WW2-themed movies.\r\n\r\nDeeply connected to rebirth: rebirth of a society, of a country and of the people themselves.']",[1]
Kanon (2006),"['Sora yori mo Tooi Basho', 'Angel Beats!', 'Clannad: After Story']","['Both series, taking place in a snow-covered enviornment, focus on a group of characters helping each other with their personal issues and traumas. Kanon includes harem-esque elements and has strong elements of the supernatural, while Yorimoi remains realistic and is more of a dramatic slice-of-life.', 'Kanon and Angel Beats are two somewhat-slice-of-life anime made with the involvement of Key, the visual novel company well known for dramatic stories about a male protagonist helping various female characters with their problems. Along with that aspect, similarities between these two anime include memory loss, tragic backstories, action scenes (more prevalent in Angel Beats though), friendship, making others happy during sad times, et cetera. Angel Beats is shorter and more better paced in my opinion though.', '- Similar character designs\r\n- MC has memory issues \r\n- A sad plot that made me cry']","[1, 1, 1]"
"Ima, Soko ni Iru Boku",['Made in Abyss'],['Hardship as experienced by very young characters.'],[1]
Mugen no Ryvius,['Geneshaft'],"['both are mostly set in space, a lot of drama and great music. Geneshaft is more action oriented while  Mugen no Ryvius is a bit darker exploring the nature of human interactions when there is not any clear authority.\r\nAlso both have a mecha robot in a space ship built from alien technology']",[1]
Seikai no Monshou,['Geneshaft'],"['both are mostly set in space, a lot of drama and great music both share the theme of a society that has been devoid to a certain extent of emotions but one or more of the characters still has a normal range of emotions. Geneshaft is more action oriented while Seikai has more politics and relationships']",[1]
Crayon Shin-chan,['Osomatsu-san'],"[""-Similar role for comedy appeal\r\n- Fans can relate a lot for it's humor or even praise it""]",[1]
Shiki,"['Ajin', 'Another', 'Youjo Senki']","['Both give off the same vibes and similar art style that\'s older.\r\nBoth about needing to hide to survive.\r\nBoth species are feared by ""normal"" humans.', ""Shiki and Another are two horror mystery series that emphasis a creepy and unsettling vibe. In both series the story is set in a remote village as a greater mystery arises as strange events begin to take place, leaving a trail of blood shed. In searching for answers the secret behind these mysterious deaths may arise from investigating the oddities that surround a certain young girl. So if you're looking for series of great mystery and horror that showcase a path of blood and gore I highly recommend these two series as the will keep you hooked as their mysteries slowly unveil themselves. For an additional fact the authors of these two series are actually married."", ""(shiki) Even though the hair is crazy the characters feel like real people and think like real people even the shiki do too BUT i warn you it's slow paced at the start and you may not like that\r\n\r\n(Youjo senki) germany in ww1 with magic and a crazy little girl that's actually a business man goes around shooting people and talking about how much she hates god  \r\n\r\nlmao the only thing that really connects the two anime is that people die and that they both have psychopaths and that god doesn't give a damn""]","[1, 1, 1]"
Zero no Tsukaima,['Dog Days'],"['In overall, there are many things, it would be hard to name just one of them, so if you like Zero no tsukaima, watch this show.\r\nYou should not regret it. I hope.']",[1]
Gamers!,['Ore wo Suki nano wa Omae dake ka yo'],"['Both series are full of comedic misunderstandings and manipulation.  \r\nThe gags and comedic timing of the characters interactions have a similar levels of fun.  So, if you like OreSuki than you should 100% watch Gamers.  \r\nThe only difference between the two series is that Gamers has more of an Otaku feel to it.']",[1]
Dennou Coil,['Penguin Highway'],"['In a nutshell, both anime have the very same feeling of mystery and (despite fantasy subject matter) realistic narration trough the eyes of children. The source of the sci-fi mystery in both is different (Dennou Coil: Cyberspace, Penguin Highway: Space-Time anomaly), but the effects on the real world are similar and both movies visualize them similarly.\r\n\r\nThere are many shared story elements in both anime. Protagonists are a group of children who find and research a mystery in their suburban world. Those kids are clever and intelligent, yet have a child-like approach and way of thinking which makes it credible. Dennou Coil is better at story telling and characters, Penguin Highway has superior animation. Both stories are a lot smarter and unusual than average anime plots.']",[1]
"Wake Up, Girls!",['Oshi ga Budoukan Ittekuretara Shinu'],"[""It's about idols without big fanbase. They have really well written characters and songs!""]",[1]
Sword Art Online II,['Infinite Dendrogram'],"['both anime are VRMMORPG anime with some darker undertones although with Infinite Dendrogram the game world work much in real life with the Tains (NPCs) being mortal so failure of a quest for permanently end a Tains life give more weight to the game. in SAO II the first fourteen episode (twenty four total  not including recap) is center around a player in GGO (a post apocalypse wild west shot them up game )that has a ""death gun"" that allow them to kill player in real life. the two are most similar when comparing the Calibur arc and the mother\'s Rosario arcs of SAO II']",[1]
Soukou Kihei Votoms,"['Egao no Daika', 'Granbelm']","[""Both series have heavy focus on the grunts in war, with mass produced mecha used as replacements for traditional infantry. Stella's characterization is reminiscent of Chirico's, and the episodes where she is the lead are the ones that will be most enjoyable if you liked VOTOMS."", ""The similarities between these two series are specifically in regards to Shingetsu, and VOTOMS' MC Chirico. Shingetsu's personal journey and status in the Granbelm competition is very similar to how Chirico's is during the war. The similarities between the two characters goes beyond their stoic attitudes and general character growth progression, as both series have a pretty identical, spoilery reveal regarding them at towards the end of the series""]","[1, 1]"
Katekyo Hitman Reborn!,['Mairimashita! Iruma-kun'],"['both maincharacters seem a spineless push-over, but through sheer (bad) luck, they end up being the top dog of their society']",[2]
Koufuku Graffiti,['Yuru Camp△'],"['Do you want to describe warmth and simplicity in a thing? If yes, these are the thing you want for. Both Koufuku Graffiti and Yuru Camp have so much heartwarming moments, comfy atmosphere, cute heroines and most importantly awesome foods. If you want to chill and indulge yourself, Koufuku Graffiti and Yuru Camp are the solution all you need.']",[1]
Moyashimon,['Dr. Stone'],['Both are science-related informational anime with characters that use a lot of dark humour.'],[1]
